NPI,HCPCS
1023264819,99215
1023264819,90670
1023264819,90662
1023264819,81002
1023264819,G0439
1023264819,36415
1023009891,99202
1023009891,99347
1023009891,99307
1023009891,11721
1023009891,99201
1023009891,99334
1023009891,99341
1023009891,99324
1023009891,99212
1023314820,63048
1023314820,72141
1023314820,22853
1023314820,72110
1023314820,63047
1023314820,22612
1023314820,72050
1023314820,22614
1023314820,22849
1023314820,63030
1023314820,63056
1023314820,72070
1023314820,72040
1023314820,22558
1023314820,99203
1023314820,72148
1023314820,99204
1023314820,99212
1023314820,72146
1023314820,99214
1023314820,99213
1023314820,72100
1023468295,73630
1023468295,20600
1023468295,11042
1023468295,17110
1023468295,73610
1023468295,11750
1023468295,J3301
1023468295,99203
1023468295,99213
1023468295,11720
1013979855,90670
1013979855,90662
1013979855,99217
1013979855,99233
1013979855,99490
1013979855,81003
1013979855,G0439
1013979855,99489
1013979855,99487
1013979855,90688
1013979855,G0009
1013979855,99220
1013979855,99214
1013979855,G0444
1013979855,99239
1013979855,99212
1013979855,99223
1013979855,99213
1013979855,99309
1013979855,96160
1013979855,G0180
1013979855,G0442
1013979855,99497
1013979855,99215
1013979855,99495
1013979855,93000
1013979855,G0008
1013979855,99496
1033107156,99213
1033107156,99212
1033107156,99232
1033107156,99214
1033107156,99205
1033107156,99215
1033107156,99204
1013949601,93325
1013949601,A9502
1013949601,99231
1013949601,93460
1013949601,93308
1013949601,93458
1013949601,93922
1013949601,93015
1013949601,93284
1013949601,93306
1013949601,92960
1013949601,99205
1013949601,99213
1013949601,93880
1013949601,93925
1013949601,93978
1013949601,99239
1013949601,99233
1013949601,78452
1013949601,93279
1013949601,93010
1013949601,93291
1013949601,93224
1013949601,99223
1013949601,93018
1013949601,93280
1013949601,J2785
1013949601,93784
1013949601,93312
1013949601,92928
1013949601,33208
1013949601,93000
1013949601,93321
1013949601,99232
1013949601,93016
1013949601,92978
1013949601,99214
1023076171,99233
1023076171,90960
1023076171,90935
1023076171,99214
1023076171,99232
1023076171,99213
1023076171,99222
1023161684,99214
1023161684,36415
1023161684,99222
1023161684,93000
1023161684,99232
1023161684,99213
1023161684,99291
1023161684,99238
1023097136,99495
1023097136,99215
1023097136,G0446
1023097136,99490
1023097136,J1040
1023097136,96127
1023097136,G0008
1023097136,G0451
1023097136,81002
1023097136,99406
1023097136,G0442
1023097136,99213
1023097136,99487
1023097136,96372
1023097136,36415
1023097136,17003
1023097136,20610
1023097136,G0444
1023097136,69210
1023097136,99212
1023097136,99204
1023097136,G0439
1023097136,83036
1023097136,G0180
1023097136,90756
1023097136,G0181
1023097136,17000
1023097136,90653
1023097136,99496
1023097136,93000
1023097136,99214
1023097136,99205
1023051661,87804
1023051661,94060
1023051661,99214
1023051661,99215
1023051661,71046
1023051661,94010
1023051661,J7613
1023051661,87880
1023051661,93000
1023051661,81002
1023051661,82947
1023051661,99204
1023051661,94640
1023051661,96372
1023051661,36415
1023051661,G0008
1023051661,99203
1023051661,99205
1023051661,99213
1023099645,J3420
1023099645,99214
1023099645,95886
1023099645,93925
1023099645,99204
1023099645,93880
1023099645,95910
1023099645,99213
1023099645,93970
1023099645,96372
1023270923,99232
1023270923,99222
1023270923,99223
1023270923,99239
1023270923,99217
1023270923,99220
1023270923,99233
1033102975,99212
1033102975,99214
1033102975,81002
1033102975,99204
1033102975,69209
1033102975,99213
1033102975,G0439
1033102975,99211
1033102975,90670
1033102975,G0444
1033102975,90732
1033102975,99308
1033102975,G0008
1033102975,90682
1033102975,82947
1033102975,G0009
1033102975,83036
1033102975,99306
1053331942,90756
1053331942,99214
1053331942,G0439
1053331942,G0444
1053331942,99213
1053474585,G0009
1053474585,G0439
1053474585,90662
1053474585,99213
1053474585,90732
1053474585,81003
1053474585,90670
1053474585,G0008
1053474585,90686
1053474585,99214
1053571703,93312
1053571703,93297
1053571703,99224
1053571703,93922
1053571703,93325
1053571703,93971
1053571703,93975
1053571703,37221
1053571703,99221
1053571703,99231
1053571703,36475
1053571703,93306
1053571703,99214
1053571703,93015
1053571703,99203
1053571703,93228
1053571703,99213
1053571703,99152
1053571703,93000
1053571703,99215
1053571703,99222
1053571703,93458
1053571703,99223
1053571703,37226
1053571703,93308
1053571703,37224
1053571703,75625
1053571703,93925
1053571703,99495
1053571703,99490
1053571703,99406
1053571703,99232
1053571703,93320
1053571703,93224
1053571703,93970
1053571703,99204
1053571703,93880
1053571703,93010
1053571703,93229
1053571703,92928
1053571703,75716
1053571703,A9500
1053571703,J2785
1053571703,93298
1053571703,78452
1053419481,99309
1053419481,99349
1053419481,99497
1053419481,99304
1053419481,99310
1053419481,99308
1053419481,99345
1053419481,99350
1053419481,99348
1053419481,99306
1053652883,81003
1053652883,99215
1053652883,99213
1053652883,G0009
1053652883,G0008
1053652883,J3301
